,NAME,Total Population,Poverty Population,state,county,Poverty Rate
63,"Monroe County, Illinois",33672,1673,17,133,4.968519838441435
99,"Kendall County, Illinois",124009,6598,17,093,5.3205815706924495
67,"Piatt County, Illinois",16335,970,17,147,5.938169574533211
34,"DuPage County, Illinois",918650,62203,17,043,6.771131551733522
18,"Will County, Illinois",678516,47519,17,197,7.003372064918145
44,"McHenry County, Illinois",305484,21649,17,111,7.086786869361407
42,"Woodford County, Illinois",37783,2737,17,203,7.243998623719662
9,"Washington County, Illinois",13925,1139,17,189,8.179533213644524
43,"Henderson County, Illinois",6821,559,17,071,8.19527928456238
26,"Lake County, Illinois",686112,56651,17,097,8.256815213842637
53,"Jo Daviess County, Illinois",21617,1800,17,085,8.326779849192766
5,"Logan County, Illinois",25116,2143,17,107,8.53240961936614
84,"Tazewell County, Illinois",130679,11205,17,179,8.574445779352459
32,"Grundy County, Illinois",49943,4389,17,063,8.788018340908636
1,"Putnam County, Illinois",5686,501,17,155,8.811115019345761
13,"Clinton County, Illinois",35500,3205,17,027,9.028169014084506
94,"Moultrie County, Illinois",14416,1321,17,139,9.163429522752498
0,"Jersey County, Illinois",21109,1944,17,083,9.209341986830262
81,"Hamilton County, Illinois",8131,771,17,065,9.482228508178576
36,"Menard County, Illinois",12139,1163,17,129,9.580690336930555
38,"Ogle County, Illinois",50482,4998,17,141,9.900558614951864
54,"Kane County, Illinois",524493,52281,17,089,9.967911869176518
56,"Brown County, Illinois",4804,482,17,009,10.03330557868443
15,"Edwards County, Illinois",6414,659,17,047,10.274399750545681
11,"Whiteside County, Illinois",55287,5862,17,195,10.602854197189213
4,"Lee County, Illinois",31258,3392,17,103,10.8516219847719
73,"Boone County, Illinois",53089,5843,17,007,11.006046450300438
2,"De Witt County, Illinois",15766,1739,17,039,11.030064696181658
75,"Carroll County, Illinois",14283,1589,17,015,11.125113771616608
57,"Marshall County, Illinois",11403,1272,17,123,11.154959221257563
20,"Douglas County, Illinois",19399,2170,17,041,11.186143615650291
96,"Shelby County, Illinois",21617,2423,17,173,11.208770874774483
87,"Mercer County, Illinois",15458,1762,17,131,11.39862854185535
77,"Crawford County, Illinois",16971,1970,17,033,11.608037239997643
80,"Effingham County, Illinois",33555,3901,17,049,11.625689167039189
82,"Johnson County, Illinois",10306,1211,17,087,11.750436638851154
50,"Wabash County, Illinois",11469,1359,17,185,11.849332984567095
24,"Henry County, Illinois",48616,5784,17,073,11.89731775547145
31,"Hancock County, Illinois",17894,2132,17,067,11.914608248574941
12,"Adams County, Illinois",64844,7874,17,001,12.142989328233915
71,"Edgar County, Illinois",17217,2125,17,045,12.342452227449614
85,"Warren County, Illinois",16158,2010,17,187,12.439658373561084
79,"Clark County, Illinois",15551,1960,17,023,12.603691080959422
74,"Bureau County, Illinois",32878,4152,17,011,12.628505383539146
51,"Calhoun County, Illinois",4690,601,17,013,12.81449893390192
89,"Randolph County, Illinois",28386,3663,17,157,12.904248573240329
28,"Scott County, Illinois",4930,638,17,171,12.941176470588237
59,"Christian County, Illinois",31464,4078,17,021,12.96084413933384
16,"Jasper County, Illinois",9369,1223,17,079,13.053687693457148
41,"White County, Illinois",13613,1786,17,193,13.119811944464848
95,"Pope County, Illinois",4078,537,17,151,13.168219715546837
6,"Macoupin County, Illinois",44659,5965,17,117,13.35677019189861
30,"LaSalle County, Illinois",106995,14458,17,099,13.512780971073415
29,"Cass County, Illinois",12494,1689,17,017,13.518488874659838
86,"Madison County, Illinois",259628,35625,17,119,13.7215554562682
83,"Livingston County, Illinois",33902,4680,17,105,13.804495310011209
47,"Pike County, Illinois",15223,2114,17,149,13.886881692176312
58,"Iroquois County, Illinois",27590,3849,17,075,13.95070677781805
52,"Cumberland County, Illinois",10719,1501,17,035,14.003171937680753
91,"Wayne County, Illinois",16386,2303,17,191,14.054680825094593
22,"Greene County, Illinois",12811,1848,17,061,14.425103426742645
40,"Stephenson County, Illinois",44575,6435,17,177,14.436343241727426
72,"Bond County, Illinois",14965,2168,17,005,14.48713665218844
39,"Morgan County, Illinois",30991,4518,17,137,14.578425994643606
45,"McLean County, Illinois",165628,24214,17,113,14.619508778708914
33,"Kankakee County, Illinois",106517,15794,17,091,14.827680088624351
48,"Rock Island County, Illinois",140213,20807,17,161,14.839565518175919
7,"Richland County, Illinois",15597,2336,17,159,14.977239212669103
19,"Williamson County, Illinois",64949,9754,17,199,15.017937150687462
37,"Cook County, Illinois",5138012,778020,17,031,15.142432520593568
35,"Sangamon County, Illinois",193495,29431,17,167,15.21021215018476
101,"Mason County, Illinois",13517,2080,17,125,15.38802988828882
66,"Winnebago County, Illinois",280982,43932,17,201,15.635165241901616
98,"Ford County, Illinois",12992,2048,17,053,15.763546798029557
10,"Montgomery County, Illinois",25706,4098,17,135,15.941803470007002
60,"Clay County, Illinois",13089,2100,17,025,16.044006417602567
70,"Stark County, Illinois",5387,866,17,175,16.07573788750696
90,"Macon County, Illinois",102956,16645,17,115,16.167100508955283
64,"Peoria County, Illinois",179239,29140,17,143,16.25762250403093
46,"Perry County, Illinois",18699,3046,17,145,16.28964115728114
49,"St. Clair County, Illinois",259341,42410,17,163,16.352986993957764
23,"Hardin County, Illinois",3915,641,17,069,16.372924648786718
14,"DeKalb County, Illinois",99131,16326,17,037,16.46911662345785
21,"Fulton County, Illinois",32810,5414,17,057,16.5010667479427
