,county,total_pov_population,moe_total_pov_population,total_pov_under18,moe_pov_under18,total_pov_under05,moe_pov_under05,total_pov_05to17,moe_pov_05to_17,total_ind_income_185_poverty,moe_ind_income_185_poverty
1,"Adams County, Illinois",64844,291,14667,147,4018,85,10649,123,17846,1184
2,"Alexander County, Illinois",6440,87,1552,32,460,4,1092,31,2959,286
3,"Bond County, Illinois",14965,536,3186,108,757,95,2429,96,4087,637
4,"Boone County, Illinois",53089,158,13533,127,2987,81,10546,113,13663,1376
5,"Brown County, Illinois",4804,239,1046,2,275,4,771,4,1227,227
6,"Bureau County, Illinois",32878,108,7125,68,1681,62,5444,51,8982,536
7,"Calhoun County, Illinois",4690,114,948,83,222,43,726,47,1168,190
8,"Carroll County, Illinois",14283,72,2776,65,724,67,2052,39,3714,349
9,"Cass County, Illinois",12494,85,3016,36,820,19,2196,34,4130,426
10,"Champaign County, Illinois",193809,714,38489,228,11460,105,27029,201,66770,1967
11,"Christian County, Illinois",31464,154,6725,72,1693,74,5032,104,9342,786
12,"Clark County, Illinois",15551,116,3573,83,904,34,2669,69,4649,501
13,"Clay County, Illinois",13089,72,2892,99,721,42,2171,82,4243,448
14,"Clinton County, Illinois",35500,216,7927,45,2047,38,5880,56,7332,684
15,"Coles County, Illinois",48114,449,9226,88,2373,59,6853,73,18035,1115
16,"Cook County, Illinois",5138012,2143,1148192,944,323926,506,824266,686,1573476,13306
17,"Crawford County, Illinois",16971,591,3720,45,1015,12,2705,44,4901,529
18,"Cumberland County, Illinois",10719,98,2462,42,657,33,1805,43,3064,313
19,"DeKalb County, Illinois",99131,911,22116,162,5898,74,16218,153,29356,1588
20,"De Witt County, Illinois",15766,97,3475,34,856,43,2619,59,3676,505
21,"Douglas County, Illinois",19399,135,4803,122,1297,41,3506,125,5526,580
22,"DuPage County, Illinois",918650,868,213086,370,54824,168,158262,283,145093,4001
23,"Edgar County, Illinois",17217,155,3608,54,896,43,2712,55,4615,532
24,"Edwards County, Illinois",6414,78,1451,79,350,34,1101,57,1567,197
25,"Effingham County, Illinois",33555,186,7852,135,2219,44,5633,136,8568,677
26,"Fayette County, Illinois",19885,215,4382,148,1103,77,3279,99,7648,656
27,"Ford County, Illinois",12992,137,3053,37,734,37,2319,52,3933,443
28,"Franklin County, Illinois",38334,195,8341,140,2121,93,6220,102,15042,818
29,"Fulton County, Illinois",32810,304,6997,74,1709,51,5288,83,10975,773
30,"Gallatin County, Illinois",5137,21,1049,23,264,13,785,26,2007,227
31,"Greene County, Illinois",12811,114,2660,95,618,30,2042,88,4179,379
32,"Grundy County, Illinois",49943,249,12649,165,3065,106,9584,166,9314,1062
33,"Hamilton County, Illinois",8131,30,1796,82,456,57,1340,81,1951,345
34,"Hancock County, Illinois",17894,91,3752,84,964,40,2788,59,5062,368
35,"Hardin County, Illinois",3915,75,700,79,131,41,569,67,1422,213
36,"Henderson County, Illinois",6821,59,1263,33,325,14,938,31,1868,256
37,"Henry County, Illinois",48616,246,10898,107,2734,10,8164,104,12063,992
38,"Iroquois County, Illinois",27590,153,6005,63,1403,49,4602,51,8829,601
39,"Jackson County, Illinois",54289,567,10390,107,2978,109,7412,147,23944,1033
40,"Jasper County, Illinois",9369,118,2034,120,521,50,1513,76,2314,301
41,"Jefferson County, Illinois",35525,253,8251,80,2293,56,5958,66,11941,782
42,"Jersey County, Illinois",21109,187,4566,38,1018,32,3548,36,4344,492
43,"Jo Daviess County, Illinois",21617,82,4140,39,903,42,3237,54,4882,454
44,"Johnson County, Illinois",10306,230,2278,40,568,47,1710,40,3009,267
45,"Kane County, Illinois",524493,845,137409,679,33982,281,103427,501,119701,3727
46,"Kankakee County, Illinois",106517,463,25457,208,6574,60,18883,210,30481,1400
47,"Kendall County, Illinois",124009,262,36030,253,8818,62,27212,235,19060,2599
48,"Knox County, Illinois",46840,355,9853,85,2662,61,7191,74,16944,984
49,"Lake County, Illinois",686112,713,172688,324,40934,146,131754,313,133468,4226
50,"LaSalle County, Illinois",106995,368,23713,104,6068,61,17645,104,29596,1509
51,"Lawrence County, Illinois",13798,170,3116,107,814,74,2302,76,4627,509
52,"Lee County, Illinois",31258,303,6705,72,1679,48,5026,57,7619,697
53,"Livingston County, Illinois",33902,305,7614,170,1969,84,5645,162,9740,713
54,"Logan County, Illinois",25116,405,5587,33,1555,59,4032,66,5935,575
55,"McDonough County, Illinois",27248,328,4991,132,1309,42,3682,140,9672,637
56,"McHenry County, Illinois",305484,441,73369,351,16738,99,56631,322,48599,2558
57,"McLean County, Illinois",165628,780,37261,209,10357,53,26904,200,43026,1696
58,"Macon County, Illinois",102956,381,23422,162,6425,84,16997,103,31652,1581
59,"Macoupin County, Illinois",44659,223,9576,89,2196,45,7380,68,12578,923
60,"Madison County, Illinois",259628,1853,57412,373,15236,118,42176,331,68910,2437
61,"Marion County, Illinois",37027,257,8375,171,2319,94,6056,143,13570,470
62,"Marshall County, Illinois",11403,140,2251,82,647,38,1604,75,2894,283
63,"Mason County, Illinois",13517,82,2789,53,679,28,2110,61,4787,340
64,"Massac County, Illinois",14169,99,3177,92,762,22,2415,90,5126,508
65,"Menard County, Illinois",12139,79,2644,103,641,53,2003,73,2614,377
66,"Mercer County, Illinois",15458,114,3383,17,779,21,2604,27,3482,350
67,"Monroe County, Illinois",33672,96,7636,33,1803,50,5833,60,4437,751
68,"Montgomery County, Illinois",25706,752,5674,56,1412,30,4262,46,8080,699
69,"Morgan County, Illinois",30991,371,6345,236,1728,79,4617,195,9654,812
70,"Moultrie County, Illinois",14416,93,3708,25,994,40,2714,45,3919,546
71,"Ogle County, Illinois",50482,185,11351,139,2683,79,8668,102,13135,949
72,"Peoria County, Illinois",179239,476,42937,273,12364,232,30573,154,56046,2310
73,"Perry County, Illinois",18699,232,4000,118,1077,80,2923,96,6283,630
74,"Piatt County, Illinois",16335,41,3652,56,941,26,2711,50,2673,466
75,"Pike County, Illinois",15223,183,3489,80,959,25,2530,77,5344,449
76,"Pope County, Illinois",4078,72,602,91,167,47,435,77,1366,316
77,"Pulaski County, Illinois",5559,34,1160,34,301,8,859,33,2677,259
78,"Putnam County, Illinois",5686,40,1085,42,234,19,851,41,1098,188
79,"Randolph County, Illinois",28386,333,6036,159,1506,74,4530,121,8409,548
80,"Richland County, Illinois",15597,108,3526,73,1031,90,2495,99,5025,482
81,"Rock Island County, Illinois",140213,459,32017,224,9069,88,22948,187,42056,2100
82,"St. Clair County, Illinois",259341,522,61511,326,16482,127,45029,309,79616,2762
83,"Saline County, Illinois",23643,176,5127,74,1431,43,3696,75,9910,601
84,"Sangamon County, Illinois",193495,394,43563,201,11138,115,32425,195,52650,2317
85,"Schuyler County, Illinois",6869,83,1228,63,263,41,965,49,2384,389
86,"Scott County, Illinois",4930,77,1065,30,241,8,824,29,1374,210
87,"Shelby County, Illinois",21617,71,4639,40,1172,13,3467,40,6309,514
88,"Stark County, Illinois",5387,96,1188,21,299,18,889,20,1692,172
89,"Stephenson County, Illinois",44575,199,9645,89,2488,131,7157,168,14983,945
90,"Tazewell County, Illinois",130679,691,29898,256,7651,175,22247,156,28383,1471
91,"Union County, Illinois",16909,85,3507,64,879,50,2628,70,5966,491
92,"Vermilion County, Illinois",75190,288,18034,196,5025,86,13009,185,27126,1074
93,"Wabash County, Illinois",11469,96,2539,153,731,87,1808,85,3283,393
94,"Warren County, Illinois",16158,153,3836,112,1080,114,2756,67,5269,643
95,"Washington County, Illinois",13925,97,2989,58,768,20,2221,59,2991,340
96,"Wayne County, Illinois",16386,57,3685,39,991,37,2694,26,5355,411
97,"White County, Illinois",13613,74,2993,45,810,29,2183,56,4544,447
98,"Whiteside County, Illinois",55287,224,12414,82,3147,49,9267,77,15029,1154
99,"Will County, Illinois",678516,558,175314,337,40588,172,134726,294,116219,3712
100,"Williamson County, Illinois",64949,306,14327,210,3908,67,10419,184,20011,1186
101,"Winnebago County, Illinois",280982,713,65671,607,17604,202,48067,520,90923,2584
102,"Woodford County, Illinois",37783,162,9475,68,2336,75,7139,96,6356,719
103,Illinois,12523283,2053,2885338,2056,765432,969,2119906,1588,3377372,23675
